# platform|runtime image|image tag stored in archive|archive path
linux/amd64|docker.elastic.co/elasticsearch/elasticsearch:7.17.29|docker.elastic.co/elasticsearch/elasticsearch:7.17.29|images/linux-amd64/docker.elastic.co_elasticsearch_elasticsearch_7.17.29.tar
linux/amd64|elasticsearch:8.11.3|elasticsearch:8.11.3|images/linux-amd64/elasticsearch_8.11.3.tar
linux/amd64|flink:1.20.3-scala_2.12-java17|flink:1.20.3-scala_2.12-java17|images/linux-amd64/flink_1.20.3-scala_2.12-java17.tar
linux/amd64|mysql:8.0.39|mysql:8.0.39|images/linux-amd64/mysql_8.0.39.tar
linux/amd64|onlyoffice/documentserver:9.4.0|onlyoffice/documentserver:latest|images/linux-amd64/onlyoffice_documentserver_latest.tar
linux/amd64|pgsty/minio:RELEASE.2026-03-25T00-00-00Z|pgsty/minio:RELEASE.2026-03-25T00-00-00Z|images/linux-amd64/pgsty_minio_RELEASE.2026-03-25T00-00-00Z.tar
linux/amd64|postgres:16.14|postgres:16|images/linux-amd64/postgres_16.tar
linux/amd64|valkey/valkey:8.1.8|valkey/valkey:8|images/linux-amd64/valkey_valkey_8.tar
linux/arm64|docker.elastic.co/elasticsearch/elasticsearch:7.17.29|docker.elastic.co/elasticsearch/elasticsearch:7.17.29|images/linux-arm64/docker.elastic.co_elasticsearch_elasticsearch_7.17.29.tar
linux/arm64|elasticsearch:8.11.3|elasticsearch:8.11.3|images/linux-arm64/elasticsearch_8.11.3.tar
linux/arm64|flink:1.20.3-scala_2.12-java17|flink:1.20.3-scala_2.12-java17|images/linux-arm64/flink_1.20.3-scala_2.12-java17.tar
linux/arm64|mysql:8.0.39|mysql:8.0.39|images/linux-arm64/mysql_8.0.39.tar
linux/arm64|onlyoffice/documentserver:9.4.0|onlyoffice/documentserver:latest|images/linux-arm64/onlyoffice_documentserver_latest.tar
linux/arm64|pgsty/minio:RELEASE.2026-03-25T00-00-00Z|pgsty/minio:RELEASE.2026-03-25T00-00-00Z|images/linux-arm64/pgsty_minio_RELEASE.2026-03-25T00-00-00Z.tar
linux/arm64|postgres:16.14|postgres:16|images/linux-arm64/postgres_16.tar
linux/arm64|valkey/valkey:8.1.8|valkey/valkey:8|images/linux-arm64/valkey_valkey_8.tar
